type,name,adress,postal-code,city,geo-length,geo-width,open-houres,marks
POCZTA_POLSKA,UP Wrocław 1,Zygmunta Krasińskiego 1,50-415,Wrocław,17.0446605682373,51.1083488464355,"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wrocław 7,Władysława Skoczylasa 19,54-003,Wrocław,16.8706226348877,51.1431922912598,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wrocław 10,Bolesława Krzywoustego 325,51-311,Wrocław,17.1154708862305,51.1463165283203,"[{""day"":""SATURDAY"",""from"":""08:30"",""to"":""15:00""},{""day"":""WORKING"",""from"":""10:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wrocław 11,Obornicka 22,51-121,Wrocław,17.033561706543,51.1351127624512,"[{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wrocław 15,Powstańców Śląskich 50,53-350,Wrocław,17.0246467590332,51.0962371826172,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""15:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wrocław 16,Sielska 5,54-137,Wrocław,16.9638233184814,51.1398582458496,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""15:00""},{""day"":""WORKING"",""from"":""10:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Gdańsk 6,Aleja Grunwaldzka 108,80-206,Gdańsk,18.6047916412354,54.3788528442383,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Rypin 1,Mławska 14,87-500,Rypin,19.4116764068604,53.0658988952637,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]",
PACZKOMAT,Paczkomat OLC01A,Wojska Polskiego 8,19-400,Olecko,22.4958,54.0398,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Kaufland
PACZKOMAT,Paczkomat TYC01A,Bielska 107,43-100,Tychy,18.97958,50.1091,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Auchan
POCZTA_POLSKA,FUP Ostrołęka 2,3 Maja 3,07-415,Olszewo-Borki,21.5255298614502,53.0667190551758,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat WRO14A,Grunwaldzka 67,50-357,Wrocław,17.06655,51.11451,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy Barze Woo
POCZTA_POLSKA,FUP Kudowa-Zdrój 1,Adama Mickiewicza 10,57-340,Duszniki-Zdrój,16.3914356231689,50.4032592773438,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""16:00""}]",
POCZTA_POLSKA,UP Ząbkowice Śląskie 1,1 Maja 1,57-200,Ząbkowice Śląskie,16.8123321533203,50.5914993286133,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""07:00"",""to"":""19:00""}]",
POCZTA_POLSKA,UP Zbąszynek,PCK 1,66-210,Zbąszynek,15.8166494369507,52.2425689697266,"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""16:30""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""16:30""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""16:30""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""20:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""16:30""}]",
POCZTA_POLSKA,FUP Ostrołęka 2,Szkolna 3,07-405,Troszyn,21.729736328125,53.0317115783691,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Urzędów,Rynek 8,23-250,Urzędów,22.1427822113037,50.9929885864258,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Ustroń k. Cieszyna 1,Ignacego Daszyńskiego 33,43-450,Ustroń,18.807445526123,49.7234954833984,"[{""day"":""SATURDAY"",""from"":""07:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""19:00""}]",
POCZTA_POLSKA,UP Wałbrzych 1,Juliusza Słowackiego 9,58-300,Wałbrzych,16.278636932373,50.7688941955566,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WORKING"",""from"":""07:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wałbrzych 6,Generała Władysława Andersa 140,58-304,Wałbrzych,16.2554912567139,50.7904891967773,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""13:45""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:30""}]",
POCZTA_POLSKA,UP Wałbrzych 14,Hetmańska 1,58-316,Wałbrzych,16.2658042907715,50.8219718933106,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
